i,a,b,w
1,2795.9077952688026,12369.94419829392,3
2,1356.969687843706,4998.443063751439,2
3,3766.235177321403,14352.722650902591,2
4,8980.63265609558,11385.580701808289,15
5,8608.462156676982,8610.141986780187,12
6,673.8253978321034,19344.751643182488,12
7,7415.947112484127,9816.338355958838,18
8,3682.2680028100767,8389.222955500365,13
9,7182.537187648251,18828.199509714887,2
10,1595.2919476504762,19990.210031999934,2
11,6433.998285538566,6892.319706005798,19
12,8785.669859899024,16703.847727251992,4
13,3469.090622761661,18185.186064799087,5
14,8814.686494716145,14967.51654160187,8
15,5988.308854048978,18635.006394735843,9
16,4733.738219546431,8463.776175403575,3
17,5774.386068878575,7133.062496257664,5
18,6745.426519836304,7454.865304829354,9
19,587.413232815386,2754.24326788706,18
20,6861.934013124085,13394.471515591329,3
21,3039.4728243139853,11990.077856698064,9
22,493.9097501548786,16692.823754797366,11
23,987.9168520370093,8659.893829928844,8
24,8395.490259628823,8780.645760057243,0
25,1774.1375405279123,2710.0927482799093,11
26,1775.9789806290214,11231.50125045689,2
27,7943.067801190718,13268.722722606504,5
28,4956.211273696471,9657.46944435144,5
29,1302.6221852915066,5640.867226958678,9
30,7588.927355219959,17031.55759728489,4
31,6594.839748258324,8171.006540281903,17
32,8979.427322274989,13923.963550273045,8
33,4399.985488980418,18503.033508628425,2
34,5366.998426730064,8714.228913417317,10
35,7145.791156172867,17722.52252072194,15
36,4505.5232744157265,6633.093249270916,1
37,8254.04084018434,14975.61854256711,8
38,8423.48796412607,17247.833739458692,17
39,7311.629316622099,7681.781730833641,5
40,3464.022036905329,17410.739622820143,11
41,2807.351188401129,18092.61339670542,11
42,1345.5318038516814,4364.316572135975,17
43,6969.051331598464,9256.652210528997,13
44,5625.236378528206,19421.91433744749,12
45,1035.3603089920493,3177.0137368713163,2
46,2302.817692692496,12706.895040380048,4
47,6120.193973410064,17516.58428577704,16
48,6363.47899265685,11038.702815100318,5
49,2128.1810524475045,19789.165505783065,5
50,8609.989383757917,13095.186218961344,1
51,5807.777582279342,17444.384790401407,1
52,151.8627268191151,15125.232781707798,4
53,4940.161203227302,5504.829454463737,2
54,5209.480780450397,18388.17901169219,3
55,9493.970387652818,13345.718630694595,17
56,1312.1504511911292,8984.193109805901,5
57,2914.3272219209703,14046.733263292388,4
58,5275.111505865587,19837.974615576637,5
59,5534.41311889292,13046.073309358233,11
60,7773.167370911349,14394.329162106722,3
61,6454.927054405604,7904.209918116142,12
62,6296.587281783778,10931.028617065942,8
63,3721.571926758433,4990.072059919184,16
64,3499.952177419597,15073.028445843995,7
65,1733.3339622506471,19255.2196963766,11
66,5187.860331948452,11029.605271756445,6
67,502.1632073749727,4614.072268166438,16
68,9284.167358078035,15129.35881570221,16
69,9166.184841171525,14720.693872648822,10
70,9.727905394804703,18758.619618600307,14
71,3452.475529613687,6045.11139698703,3
72,2708.523247111294,8394.938663657693,10
73,2399.057314147066,17484.721080420215,17
74,8843.890612476178,16950.15881118018,6
75,2479.2560903521903,18786.865734306615,4
76,2873.2360326389353,17380.983171751177,1
77,6257.757200990395,8884.785624588958,12
78,5558.938264230773,6549.952428763243,15
79,1871.3499228760206,12153.38500719876,7
80,986.2919767640635,11179.362103134174,18
81,2504.0927446845344,12156.659383259748,10
82,4471.82465239572,5700.135774234038,6
83,2880.8611920514572,9643.772177510999,5
84,832.3949882706254,19960.82558133025,13
85,7958.6934938594595,15184.66510620674,0
86,9581.820847105071,13082.572764438888,0
87,1304.475059183233,17421.546849295184,13
88,8996.594715139081,12848.754277630595,12
89,5199.386816982943,9901.251312980468,16
90,8206.557248276788,16137.80132828535,9
91,9570.993059488126,12673.404392563507,18
92,5563.746115606848,8933.827985112974,1
93,9655.775937600445,14602.87234938432,16
94,9602.910564144942,19508.236077350648,5
95,718.8465517633068,10730.963723791883,15
96,261.4301809009942,9299.279005601558,2
97,8999.928784004605,9453.116823553357,11
98,4780.02085999403,13327.657991133248,7
99,9610.535323811118,18684.86378654567,10
100,6007.165174061281,8971.38862120345,19
101,9242.790723037184,13533.968126171058,10
102,7480.135783834967,13044.320514420768,0
103,3034.453815989666,7159.572570893661,7
104,8978.912046747188,13363.528665386373,16
105,8285.206183760167,16651.411152676577,0
106,1264.5960984186547,18905.792766533705,2
107,3278.9295914683466,18039.070138470208,9
108,1478.5122780016723,9273.992673908619,16
109,3596.632880200713,12341.558621008913,3
110,68.0702611085235,663.1709047186017,4
111,510.90784272328557,11731.919251097639,6
112,4030.2180648936733,6978.079645616106,3
113,5147.964031015405,13212.908427575469,6
114,4589.648877406471,10252.276285014068,15
115,4236.582932036979,14691.660948377208,4
116,3772.481679781869,19587.776147768047,19
117,5711.40805254199,17095.99824276127,11
118,7533.449053445161,13562.253319293663,13
119,8030.3644291851315,12040.621161763967,3
120,9560.09832334006,12442.993062249097,14
121,1291.8713950457386,15024.11306490843,4
122,1564.7844197829766,13495.035550467375,13
123,2866.192243070872,19444.249472006217,4
124,3763.513079859028,5936.950772526702,4
125,4314.9264680967,7973.56309277959,10
126,3087.7514024695824,4170.191463814486,12
127,1146.9934362345798,3176.6978799152976,8
128,1161.2365877534253,15972.11536187999,4
129,7708.7240707234,13213.633007934128,5
130,2274.527418476874,10205.280623927634,9
131,3699.548029228446,5644.880531616203,18
132,4559.518219145979,9953.12790163219,17
133,5227.586707448211,14832.676174158601,6
134,9092.655227894342,12961.33555437493,15
135,8325.529866300425,14748.612352951917,12
136,6119.408879576253,13451.24065041657,11
137,7268.942696910171,18806.446886508165,9
138,1125.7527986536456,19545.863922607088,7
139,9490.881540839006,14997.274367263573,13
140,2922.402461291829,9999.355764064254,16
141,8496.677833746005,14816.159410069235,18
142,1624.6594895578992,2894.9682938705296,11
143,7192.22922920173,9821.565746099202,13
144,5251.281862562484,10432.73102105684,7
145,4331.428266098871,12167.92784258134,9
146,8175.006671005721,15759.76751095415,8
147,9936.562174365226,14272.287626375175,16
148,4767.748444878062,6709.086847588474,18
149,2324.9750798864334,14810.805943882857,13
150,7337.620555721702,11185.551467488285,13
151,523.531533231025,19031.467496079884,14
152,650.2735391228587,17395.22201871283,3
153,6925.635169071088,15061.295370390268,2
154,2468.665093803675,12592.620577058136,13
155,5646.8204383699895,9737.961877321952,12
156,2.5895880145178456,16356.58303853735,9
157,6480.043774681733,15106.857176116311,11
158,5783.436312099354,9956.574635760388,18
159,4335.075812764466,12795.64054544546,12
160,3381.5021626257358,18700.879886575516,3
161,4817.442093365012,5381.350860938165,15
162,9742.733516480495,12708.56007040496,4
163,7754.813093018606,10830.342248949744,1
164,8484.690888220195,15179.455144394517,15
165,870.7610346722057,4276.096819424951,15
166,893.5643536549327,16420.01154295203,4
167,7202.665329826848,13694.034783543866,6
168,8384.424304645449,10919.432129285324,6
169,651.6167530442905,13604.892616808367,5
170,1618.0717869573393,8538.718283541717,11
171,2635.96590081772,19282.33764348481,4
172,5130.088409512376,16691.236174934573,18
173,702.8791406498067,19073.101562364536,11
174,3946.724013985497,8300.351715031493,13
175,8944.987839854915,19653.790955953493,6
176,9540.615334867396,10243.807540665925,2
177,5839.9289301294075,13369.702419402643,7
178,7350.870841190269,13737.449666245273,17
179,7869.421964431664,12578.248837898136,3
180,26.951133437968036,18457.48080413971,9
181,1486.6438328666618,6862.08767529205,8
182,8620.062429674452,19879.140416616385,15
183,1975.8267389294958,18544.339632991985,10
184,3416.3531824470538,18103.610100575825,17
185,5080.8067005361145,5317.374151298841,12
186,144.01432327954117,1856.6956522788514,4
187,8520.150356042504,13167.450612916633,9
188,5241.881017254868,12668.131712339833,11
189,8309.17134303756,13534.435859673202,3
190,1689.7419587113616,5243.12168457347,15
191,5478.423785675845,5622.798735566064,8
192,8582.444242794998,9913.50333160363,4
193,6187.191993538318,17034.741351682434,9
194,2703.742263432971,19545.741223847843,11
195,3005.958062098049,5242.650371958394,15
196,2948.962853324092,17685.59784103094,13
197,9457.29521558766,18957.44327083285,0
198,7169.179827253802,19904.84597979586,5
199,2801.5661434775543,15310.754899385825,14
200,3955.409341231183,14158.674160534434,12
201,2026.3221516030474,9146.077013534,2
202,8793.052323278936,14500.002917330028,11
203,161.14126569735114,16844.491342548896,14
204,7921.34274986883,14854.975851052506,6
205,5184.802147700316,7740.973341698319,5
206,9125.034410024551,16401.05810612376,7
207,1689.655701565631,11992.56114570085,14
208,5962.183617542976,14104.860780535404,9
209,8712.135073396255,11067.15309291948,14
210,6085.383724798375,6918.467624631343,6
211,2566.7518686591475,7042.213981197359,3
212,7596.55142696097,10659.384531779313,12
213,1399.539907032218,6575.768171252306,17
214,7851.006623376916,11946.549886967816,19
215,9800.191815704982,18143.232353294014,5
216,5806.052031675021,18836.577471787146,16
217,8598.902458107048,16509.743878524663,5
218,6296.611093241534,7614.511299854813,6
219,7804.371324759346,15544.23363614911,0
220,9291.755492531676,10398.745891089573,18
221,2304.220792189861,10151.176787949824,1
222,632.734522038442,1931.168274183035,18
223,5222.301918034764,18325.20901555592,15
224,1870.1169472048437,9602.691241247001,14
225,106.5849567622719,4952.490300616189,17
226,7333.549057773059,14929.990181333687,14
227,6546.953974725127,7864.147334916415,9
228,5217.532178314376,18341.76636687522,1
229,2700.9831524958704,15244.972922874269,14
230,6331.3239453825845,9017.008669085351,8
231,1722.6062281212373,11992.52548213795,8
232,9654.778027541217,14124.703045190196,5
233,5093.840514526168,9068.746425130345,11
234,4464.891626429281,8961.874404259968,18
235,6328.457678467553,8438.572242867169,12
236,2448.2064773455754,11478.681116447508,10
237,2458.493815067476,3663.7407685013304,4
238,3897.556516992101,4182.789963685255,6
239,9370.804755058112,17437.475633776652,5
240,8748.900693605008,14213.267807678727,15
241,5730.104649349452,19696.028491751895,6
242,4168.854409091524,10759.798454734871,14
243,9723.608217839605,9803.132122426467,18
244,7221.644874153284,17013.676239655753,10
245,2287.1745614834713,9175.03789273126,2
246,1558.260052294821,17626.285517271892,7
247,2214.6882519091564,3056.1021616415487,11
